PLAYER,YEAR,POS,TEAM,CAP HIT,SALARY PERCENTAGE
Evander Kane,2019,LW,SJS,7000000,0.087
Marc-Edouard Vlasic,2019,D,SJS,7000000,0.087
Paul Stastny,2015,C,STL,7000000,0.099
Jason Spezza,2011,C,OTT,7000000,0.109
Evander Kane,2018,LW,SJS,7000000,0.088
Henrik Sedin,2014,C,VAN,7000000,0.101
Joe Pavelski,2021,C,DAL,7000000,0.087
Marc-Edouard Vlasic,2018,D,SJS,7000000,0.088
Drew Doughty,2014,D,LAK,7000000,0.102
Daniel Sedin,2014,LW,VAN,7000000,0.101
Joe Pavelski,2019,C,DAL,7000000,0.087
Max Pacioretty,2019,LW,VGK,7000000,0.086
Marc-Andre Fleury,2019,G,VGK,7000000,0.086
Jason Spezza,2014,C,DAL,7000000,0.101
Max Pacioretty,2021,LW,VGK,7000000,0.086
Tuukka Rask,2018,G,BOS,7000000,0.089
Marc-Andre Fleury,2021,G,CHI,7000000,0.086
Jason Spezza,2012,C,OTT,7000000,0.1
Paul Stastny,2017,C,WPG,7000000,0.093
Henrik Sedin,2016,C,VAN,7000000,0.096
Daniel Sedin,2016,LW,VAN,7000000,0.096
Pekka Rinne,2017,G,NSH,7000000,0.093
Drew Doughty,2016,D,LAK,7000000,0.096
Tuukka Rask,2013,G,BOS,7000000,0.109
Jarome Iginla,2012,RW,PIT,7000000,0.1
Joe Thornton,2011,C,SJS,7000000,0.109
Marc-Edouard Vlasic,2021,D,SJS,7000000,0.086
Evander Kane,2021,LW,SJS,7000000,0.086
Pekka Rinne,2015,G,NSH,7000000,0.098
Paul Stastny,2014,C,STL,7000000,0.103
Tuukka Rask,2014,G,BOS,7000000,0.109
James Van Riemsdyk,2020,LW,PHI,7000000,0.086
Drew Doughty,2013,D,LAK,7000000,0.109
Jason Spezza,2013,C,OTT,7000000,0.109
Joe Thornton,2013,C,SJS,7000000,0.109
Gabriel Landeskog,2021,LW,COL,7000000,0.088
Tuukka Rask,2016,G,BOS,7000000,0.096
Pekka Rinne,2018,G,NSH,7000000,0.088
Paul Stastny,2016,C,STL,7000000,0.096
Matthew Tkachuk,2021,LW,CGY,7000000,0.086
Henrik Sedin,2017,C,VAN,7000000,0.093
Daniel Sedin,2017,LW,VAN,7000000,0.093
Alexander Semin,2014,RW,CAR,7000000,0.102
Drew Doughty,2017,D,LAK,7000000,0.093
James Van Riemsdyk,2018,LW,PHI,7000000,0.088
Dion Phaneuf,2017,D,LAK,7000000,0.093
James Van Riemsdyk,2019,LW,PHI,7000000,0.086
Joe Thornton,2012,C,SJS,7000000,0.1
Drew Doughty,2012,D,LAK,7000000,0.1
James Van Riemsdyk,2021,LW,PHI,7000000,0.086
Pekka Rinne,2014,G,NSH,7000000,0.105
Tuukka Rask,2020,G,BOS,7000000,0.087
Pekka Rinne,2012,G,NSH,7000000,0.1
Drew Doughty,2015,D,LAK,7000000,0.098
Dion Phaneuf,2016,D,OTT,7000000,0.096
Henrik Sedin,2015,C,VAN,7000000,0.098
Daniel Sedin,2015,LW,VAN,7000000,0.098
Pekka Rinne,2013,G,NSH,7000000,0.109
Alexander Semin,2013,RW,CAR,7000000,0.109
Matthew Tkachuk,2020,LW,CGY,7000000,0.086
Alexander Semin,2012,RW,CAR,7000000,0.1
Anders Lee,2021,C,NYI,7000000,0.087
Mathew Barzal,2020,C,NYI,7000000,0.086
Mathew Barzal,2021,C,NYI,7000000,0.087
Anders Lee,2020,C,NYI,7000000,0.086
Dion Phaneuf,2014,D,TOR,7000000,0.102
Marc-Edouard Vlasic,2020,D,SJS,7000000,0.086
Evander Kane,2020,LW,SJS,7000000,0.086
Drew Doughty,2011,D,LAK,7000000,0.109
Max Pacioretty,2020,LW,VGK,7000000,0.086
Marc-Andre Fleury,2020,G,VGK,7000000,0.086
Dion Phaneuf,2018,D,LAK,7000000,0.088
Pekka Rinne,2016,G,NSH,7000000,0.096
Drew Doughty,2018,D,LAK,7000000,0.088
Joe Pavelski,2020,C,DAL,7000000,0.089
Matthew Tkachuk,2019,LW,CGY,7000000,0.086
Tuukka Rask,2017,G,BOS,7000000,0.093
Tuukka Rask,2015,G,BOS,7000000,0.099
Tuukka Rask,2019,G,BOS,7000000,0.086
Anders Lee,2019,C,NYI,7000000,0.086
William Nylander,2020,C,TOR,6962366,0.085
William Nylander,2021,C,TOR,6962366,0.085
William Nylander,2019,C,TOR,6962366,0.085
Zdeno Chara,2013,D,BOS,6916667,0.108
Zdeno Chara,2014,D,BOS,6916667,0.108
Zdeno Chara,2016,D,BOS,6916667,0.095
Zdeno Chara,2012,D,BOS,6916667,0.099
Zdeno Chara,2015,D,BOS,6916667,0.098
Zdeno Chara,2011,D,BOS,6916665,0.108
Patrick Marleau,2011,LW,SJS,6900000,0.107
Patrick Marleau,2013,LW,SJS,6900000,0.107
Patrick Marleau,2012,LW,SJS,6900000,0.098
Patrice Bergeron,2018,C,BOS,6875000,0.087
Brent Seabrook,2021,D,TBL,6875000,0.085
Brent Seabrook,2017,D,CHI,6875000,0.096
Ryan Kesler,2020,C,ANA,6875000,0.084
Ryan Kesler,2021,C,ANA,6875000,0.084
Brent Seabrook,2020,D,CHI,6875000,0.086
Brent Seabrook,2018,D,CHI,6875000,0.088
Patrice Bergeron,2014,C,BOS,6875000,0.107
Ryan Kesler,2016,C,ANA,6875000,0.094
Ryan Kesler,2019,C,ANA,6875000,0.084
Brent Seabrook,2019,D,CHI,6875000,0.084
Patrice Bergeron,2016,C,BOS,6875000,0.094
Patrice Bergeron,2020,C,BOS,6875000,0.085
Henrik Lundqvist,2011,G,NYR,6875000,0.107
Ryan Kesler,2018,C,ANA,6875000,0.087
Ryan Kesler,2017,C,ANA,6875000,0.092
Brent Seabrook,2016,D,CHI,6875000,0.098
Henrik Lundqvist,2012,G,NYR,6875000,0.098
Patrice Bergeron,2017,C,BOS,6875000,0.092
Patrice Bergeron,2021,C,BOS,6875000,0.086
Henrik Lundqvist,2013,G,NYR,6875000,0.107
Patrice Bergeron,2015,C,BOS,6875000,0.098
Patrice Bergeron,2019,C,BOS,6875000,0.084
Philip Kessel,2020,RW,AZ,6800000,0.084
Anze Kopitar,2014,C,LAK,6800000,0.099
Philip Kessel,2016,RW,PIT,6800000,0.093
Philip Kessel,2019,RW,AZ,6800000,0.083
Anze Kopitar,2013,C,LAK,6800000,0.106
Philip Kessel,2017,RW,PIT,6800000,0.091
Philip Kessel,2021,RW,AZ,6800000,0.084
Philip Kessel,2015,RW,PIT,6800000,0.095
Anze Kopitar,2012,C,LAK,6800000,0.097
Anze Kopitar,2015,C,LAK,6800000,0.095
Philip Kessel,2018,RW,PIT,6800000,0.086
Anze Kopitar,2011,C,LAK,6800000,0.106
Johnny Gaudreau,2018,LW,CGY,6750000,0.085
Mark Giordano,2018,D,CGY,6750000,0.085
Mikko Koivu,2012,C,MIN,6750000,0.096
Joe Thornton,2014,C,SJS,6750000,0.098
Brayden Point,2021,C,TBL,6750000,0.083
Ryan McDonagh,2021,D,TBL,6750000,0.083
Mikko Koivu,2011,C,MIN,6750000,0.105
Brayden Point,2020,C,TBL,6750000,0.083
Ryan McDonagh,2020,D,TBL,6750000,0.083
Mikko Koivu,2014,C,MIN,6750000,0.099
Johnny Gaudreau,2016,LW,CGY,6750000,0.093
Mark Giordano,2016,D,CGY,6750000,0.093
Joe Thornton,2016,C,SJS,6750000,0.093
Ivan Provorov,2020,D,PHI,6750000,0.083
Brayden Point,2019,C,TBL,6750000,0.083
Mikko Koivu,2016,C,MIN,6750000,0.093
Ryan McDonagh,2019,D,TBL,6750000,0.083
Patrik Laine,2019,RW,WPG,6750000,0.083
Johnny Gaudreau,2021,LW,CGY,6750000,0.083
Ivan Provorov,2019,D,PHI,6750000,0.083
Ivan Provorov,2021,D,PHI,6750000,0.083
Mark Giordano,2021,D,SEA,6750000,0.083
Patrik Laine,2020,RW,CBJ,6750000,0.083
Mark Giordano,2017,D,CGY,6750000,0.091
Johnny Gaudreau,2017,LW,CGY,6750000,0.091
Johnny Gaudreau,2020,LW,CGY,6750000,0.083
Mark Giordano,2020,D,CGY,6750000,0.083
Mikko Koivu,2013,C,MIN,6750000,0.106
Mikko Koivu,2017,C,MIN,6750000,0.09
Joe Thornton,2015,C,SJS,6750000,0.095
Mikko Koivu,2015,C,MIN,6750000,0.095
Johnny Gaudreau,2019,LW,CGY,6750000,0.083
Mark Giordano,2019,D,CGY,6750000,0.083
Nicklas Backstrom,2017,C,WAS,6700000,0.089
Nicklas Backstrom,2014,C,WAS,6700000,0.097
Nicklas Backstrom,2019,C,WAS,6700000,0.083
Nicklas Backstrom,2018,C,WAS,6700000,0.084
Nicklas Backstrom,2012,C,WAS,6700000,0.095
Nicklas Backstrom,2016,C,WAS,6700000,0.092
Pavel Datsyuk,2012,C,DET,6700000,0.095
Nicklas Backstrom,2013,C,WAS,6700000,0.104
Pavel Datsyuk,2011,C,DET,6700000,0.104
Nicklas Backstrom,2015,C,WAS,6700000,0.094
Alexander Semin,2011,RW,WAS,6700000,0.104
Pavel Datsyuk,2013,C,DET,6700000,0.104
Nicklas Backstrom,2011,C,WAS,6700000,0.104
Jay Bouwmeester,2011,D,CGY,6680000,0.104
